msid,school_name,appears_in_dropdown,school_active,school_level,grades_served,address,city_state_zip,opened_year,age_of_site_2026,last_major_renovation_year,site_acres,enrollment_2017,enrollment_2018,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,enrollment_2024,enrollment_2025,sy2526_actual,projected_2026_27,projected_2027_28,projected_2028_29,projected_2029_30,projected_2030_31,factored_capacity_2025_26,utilization_2025_26,capture_rate,eth_hawaiian_native_pacific_islander,eth_asian,eth_black_non_hispanic,eth_hispanic,eth_amer_indian_or_alaskan_native,eth_multi_racial,eth_white_non_hispanic,lunch_not_free_reduced,lunch_free,lunch_reduced
11,TITUSVILLE HIGH SCHOOL,yes,Active,high,'9-12,150 TERRIER TRAIL,"TITUSVILLE, FL 32780",1955,71,2008,53,1412,1381,1310,1230,1231,1313,1309,1277,1306,1306,1300,1208,1180,1150,1128,1801,0.725,0.9797,0,36,254,155,2,127,732,657,534,115
51,OAK PARK ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,3395 DAIRY RD,"TITUSVILLE, FL 32796",1966,60,N/A,20,896,723,642,603,561,505,472,473,491,491,491,473,455,443,450,906,0.542,0.6138,3,2,106,58,2,54,266,163,280,48
52,JAMES MADISON MIDDLE SCHOOL,yes,Active,middle,'7-8,3375 DAIRY RD,"TITUSVILLE, FL 32796",1967,59,N/A,20,460,492,528,470,480,446,429,446,424,424,410,434,463,441,388,781,0.543,0.8396,1,0,62,44,0,35,282,222,175,27
61,APOLLO ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,3085 KNOX MCRAE DR,"TITUSVILLE, FL 32780",1966,60,N/A,15,877,847,836,785,782,731,643,596,573,573,564,528,510,506,483,902,0.635,0.7235,3,8,189,56,1,64,252,201,336,36
91,COQUINA ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,850 KNOX MCRAE DR,"TITUSVILLE, FL 32780",1963,63,N/A,12,598,515,520,499,534,560,488,465,473,473,442,449,442,447,453,711,0.665,0.6946,1,5,102,52,2,65,246,157,288,28
101,MIMS ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,2582 U.S.HWY 1,"MIMS, FL 32754",1960,66,N/A,13,510,479,452,389,431,464,416,395,407,407,392,364,346,329,328,725,0.561,0.7005,2,3,119,38,2,36,207,126,257,24
122,SOUTH LAKE ELEMENTARY,yes,Active,elementary,'K-6,3755 GARDEN ST,"TITUSVILLE, FL 32796",1962,64,N/A,12,0,311,351,367,396,434,446,469,484,484,506,506,506,506,506,639,0.757,N/A (Choice School),0,6,18,30,1,34,395,373,90,21
141,ANDREW JACKSON MIDDLE SCHOOL,yes,Active,middle,'7-8,1515 KNOX MCRAE DR,"TITUSVILLE, FL 32780",1965,61,N/A,27,548,548,537,566,574,550,561,505,468,468,443,460,457,417,394,660,0.709,0.7973,1,11,103,49,3,51,250,238,205,25
151,IMPERIAL ESTATES ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,900 IMPERIAL ESTATES LA,"TITUSVILLE, FL 32780",1968,58,N/A,15,687,639,629,605,624,659,671,607,559,559,554,519,489,471,458,729,0.767,0.6817,0,9,120,54,3,88,285,267,263,29
161,ASTRONAUT HIGH SCHOOL,yes,Active,high,'9-12,800 WAR EAGLE BLVD,"TITUSVILLE, FL 32796",1971,55,N/A,39,1070,1076,1055,1087,1077,1109,1056,1054,1018,1018,1006,956,912,904,901,1451,0.702,0.9255,3,16,123,91,1,73,711,547,390,81
